movieskey,trimmed names,moviename,deathcount,deathcomment,release date,budget,domestic gross,worldwide gross
2092,Slumdog Millionaire,Slumdog Millionaire,4,4,11/12/08,14000000,141319928,
2093,The Turin Horse,The Turin Horse,0,0,#N/A,#N/A,#N/A,
2094,Conquest of the Planet of the Apes,Conquest of the Planet of the Apes,43,15 humans and 28 apes,#N/A,#N/A,9700000,
2095,Battle for the Planet of the Apes,Battle for the Planet of the Apes,35,12 humans and 23 apes,#N/A,#N/A,8800000,
2096,The Da Vinci Code,The Da Vinci Code,18047,"18,047",5/19/06,125000000,217536138,
2097,Movie 43,Movie 43,0,0,1/25/13,10000000,8840453,
2098,Insurgent,Insurgent,6,6,3/20/15,110000000,130179072,
2099,Repo Men,Repo Men,29,29,3/19/10,32000000,13794835,
2100,The Mangler 2,The Mangler 2,8,8,#N/A,#N/A,#N/A,
2101,National Lampoon's Dirty Movie,National Lampoon's Dirty Movie,0,0,#N/A,#N/A,#N/A,
2102,Return to Sender,Return to Sender,1,1 dog,#N/A,#N/A,#N/A,
2103,Don't Say a Word,Don't Say a Word,6,6,9/28/01,50000000,54997476,
2104,Open Water 2: Adrift,Open Water 2: Adrift,5,5 and an inflatable dolphin,#N/A,#N/A,#N/A,
2105,Wild Cherry,Wild Cherry,0,0,#N/A,#N/A,#N/A,
2106,The Mangler Reborn,The Mangler Reborn,6,6,#N/A,#N/A,#N/A,
2107,eXistenZ,eXistenZ,2,2,4/23/99,20700000,2840417,
2108,The Beyond,The Beyond,16,16,#N/A,#N/A,#N/A,
2109,Something Borrowed,Something Borrowed,0,0,5/6/11,35000000,39046489,
2110,The Sixth Sense,The Sixth Sense,4,4,8/6/99,40000000,293506292,
2111,Shrek,Shrek,87,"1 plus 1 bug, 4 fish, 1 slug, 1 bird, 3 weedrats, 1 spider and a spiderweb full of bugs",5/18/01,50000000,267655011,
2112,Shrek 2,Shrek 2,3,"1 mermaid, 1 dove and 1 fairy godmother",5/19/04,70000000,436471036,
2113,The Muppets Take Manhattan,The Muppets Take Manhattan,0,0,#N/A,#N/A,#N/A,
2114,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,500015,"500,011 Klingons, 3 humans and 1 Chameloid",12/6/91,27000000,74888996,
2115,Star Trek: Generations,Star Trek: Generations,394,384 plus 2 Romulans and 8 Klingons,11/18/94,38000000,75510568,
2116,28 Hotel Rooms,28 Hotel Rooms,0,0,#N/A,#N/A,#N/A,
2117,Lilo & Stitch,Lilo & Stitch,1,1 alien cop,6/21/02,80000000,145771527,
2118,Chicken Run,Chicken Run,1,1 chicken,6/21/00,42000000,106793915,
2119,While the Children Sleep a.k.a. The Sitter,While the Children Sleep a.k.a. The Sitter,4,4,#N/A,#N/A,#N/A,
2120,People Like Us,People Like Us,0,0,6/29/12,16000000,12431792,
2121,Preservation,Preservation,7,"5, a dog and a deer",#N/A,#N/A,#N/A,
2122,Don't Blink,Don't Blink,1,1,#N/A,#N/A,#N/A,
2123,Ned Rifle,Ned Rifle,2,2,#N/A,#N/A,#N/A,
2124,Wishful Thinking,Wishful Thinking,0,0,#N/A,#N/A,#N/A,
2125,Deadfall,Deadfall,8,7 and a deer,12/7/12,6000000,66351,
2126,American Mary,American Mary,6,6,#N/A,#N/A,#N/A,
2127,Shakespeare in Love,Shakespeare in Love,1,1,12/11/98,26000000,100241322,
2128,The Poker House,The Poker House,0,0,7/17/09,1000000,0,
2129,We Are Marshall,We Are Marshall,75,75,12/22/06,65000000,43545364,
2130,The Crow,The Crow,27,27,12/31/15,40000000,0,
2131,Devil's Knot,Devil's Knot,3,3,#N/A,#N/A,#N/A,
2132,Son of the Mask,Son of the Mask,0,0,2/18/05,100000000,17018422,
2133,The Lazarus Effect,The Lazarus Effect,3,2 and a dog,2/27/15,5000000,25801570,
2134,The Hollow,The Hollow,21,20 and a dog,#N/A,#N/A,#N/A,
2135,Grosse Pointe Blank,Grosse Pointe Blank,14,14,4/11/97,15000000,28073151,
2136,Pootie Tang,Pootie Tang,0,0,6/29/01,3500000,3293258,
2137,Annabelle,Annabelle,5,5,10/3/14,6500000,84273813,
2138,The Invasion,The Invasion,305,303 and 2 dogs,8/17/07,80000000,15074191,
2139,Ex Machina,Ex Machina,2,2,4/10/15,13000000,25440971,
2140,Dr. T & the Women,Dr. T & the Women,0,0,#N/A,#N/A,#N/A,
2141,The Twelve Chairs,The Twelve Chairs,1,1,#N/A,#N/A,#N/A,
2142,We Are What We Are,We Are What We Are,9,"7, 1 dog and 1 baby deer",#N/A,#N/A,#N/A,
2143,Cursed,Cursed,5,4 and a werewolf,2/25/05,35000000,19294901,
2144,One Hour Photo,One Hour Photo,0,0,8/21/02,12000000,31597131,
2145,The Raven,The Raven,9,8 and a raven,4/27/12,26000000,16008272,
2146,Tomorrowland,Tomorrowland,22,"5 people, 16 AA units and 1 bird",5/22/15,170000000,93436322,
2147,The Watcher,The Watcher,12,12,9/8/00,33000000,28946615,
2148,The Beaver,The Beaver,0,0,5/6/11,21000000,970816,
2149,Curve,Curve,5,4 and a rat,#N/A,#N/A,#N/A,
2150,In Fear,In Fear,1,1,#N/A,#N/A,#N/A,
2151,Good People,Good People,8,8,#N/A,#N/A,#N/A,
2152,Welcome to Me,Welcome to Me,0,0,#N/A,#N/A,#N/A,
2153,Hellions,Hellions,9,"3 people, 5 slug children and 1 unborn slug child",#N/A,#N/A,#N/A,
2154,Not Safe for Work,Not Safe for Work,11,11,#N/A,#N/A,#N/A,
2155,Torment,Torment,7,6 and a dog,#N/A,#N/A,#N/A,
2156,A Good Old Fashioned Orgy,A Good Old Fashioned Orgy,0,0,#N/A,#N/A,#N/A,
2157,Zombeavers,Zombeavers,9,"2 people, 1 deer, 2 dogs, 3 Zombeavers and 1 infected Zombeaver chick",#N/A,#N/A,#N/A,
2158,The Taking of Deborah Loagn,The Taking of Deborah Loagn,1,1,#N/A,#N/A,#N/A,
